file,eng,fra,spa,chi_sim,word_counts,Score_0,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9
images/007401.jpg,i T i e S S S f eSS IS SIS s T s T £ S e frelerrr FEP T S = IS s trer Fr RSt e e S s ey ST L s sl A eSS LT L WA TES T =i e e = 2 Y e e ter S cose s 7           B e  Lo ZFre T LT ey F <Pr —F ZIrT TS FaTi L Zer= T = iveeks —ees o7 S omc ik S Ter rarr 72 ST S e rr E e     Emulgel  Diclofenac diethylammonium gel 11.6 mg/g equivalent to diclofenac sodium 10 mg/g (1% w/w)  For temporary relief of local pain and inflammation AusTr 47676,"LEIS LS 1II/I IL I LS LEMOS TPI MIOIS MPIIOT F ILIS DOIIPISI IL IR ESDS7 S Larr es Mrardarun” FCP S—n L77 5 LTS SUS LI USCAT SS S HS FT MI CEIN I SP S SPI E LSSS OS Z A WNISES CIS ILICE INTEST SN Sn LIF CLS III S SJ T HST ISS LOST IOS TT ISES SS LPUIT SS ESS CIS ENLEST T II S 0SS0S IL ILO0S           OD TEI IS L5CT)IS CUYII S ISMFN 855 A JIRN LS  L> L)7S ISS OE OT ISS T F IT -F EMTT ISS HID COOIOO C COE E E ESL OS GD S, (S SS 05704 SS ISS SE SIT SESST TEI I ISS TID LS PL7     Emulgel  Diclofenac diethylammonium gel 11.6 mg/g equivalent to diclofenac sodium 10 mg/g (1% w/w)  For temporary relief of local pain and inflammation AUST R 47676","o L=772z> =I. ==7 -7 1- DI III LIIIIL7ITIILI SrO P— FO — ZA Lsser= Ij II 1- I= S 1S A I 2IzTILAIIL ATDELS7 =y =S DIALIIDIZ <2 DZ LEIIITIEZ ELISDL= o =X£ 77O 5= 777           q7 7LIZ25= l--7 ID I/IADZII 25 D ID ID  Lo 7 I= I =I F 7 A LTIES TI7 ZEZ ES E L=ETEEZL, - I 12KIL TI7 TELO DT IIIIILID     Emulgel  Diclofenac diethylammonium gel 11.6 mg/g equivalent to diclofenac sodium 10 mg/g (1% w/w)  For temporary relief of local pain and inflammation AUST R 47676",一 厂 eorymeoeyrimLs 一 广 口 2 广 coerz 一 zmyrz 吊 广 cor [zraczymryz 心 r - 不 r czea - 东 cz e 人 > 一 scr 吊 人 zredres 口 c L 加 seoco 一 cz[ ismcre< 一 ezvezx 二 心 广 5iz 心 工 a 口 心 e z<derezprze czrizr7z 口 erzczrzreiis- crriere:c 一 一 一 yz 心 cise 心 [ 一              Esrzozzzsczzatzzysczzztdtstcrzctuztszatrzotozoctotsdzdo  < L 心 心 志F 不 - 心 不 一 c 一 不 L c 一 二 2 万 5ERZ 乙 二 E EBESELZC 一 心 心 心 c A ez 广 12xiX LZzyEzrrz 心 zzr     Emulger  Diclofenac diethylammonium gel 11.6 mg/g9 equivalent to diclofenac sodium 10 mg/g (1% wW/w)  For temporary relief of local pain and inflammation AUSTR 47676,145,17,12,21,17,26,24,21,19,24,18
images/97. xfamily-dollar-44-329-1.jpg,"Diphenhydramine HCI 25 mg  Diphenhydramine HCI 25 mg  N IGLELE N7 78OS €  6LLL2-N £009160 NNS  1686-920-008-1 1129 (SJUaWWw03 10 SUo/Sany  GPIXOID WNIUEI] 918 PIOE OGS ‘apXOID DI ‘104001e 1AUA(0d ‘0910 auauishiod 25010 AUNEISA0ION ‘ARAEAIS WhISaUBRL “21eydsoud WDIED ‘Dfe WnuNe /24  P21 030 ‘YoIEis uioo SjuIpalbul anaeu|  J3GUING 10| U 41Ep UOREAKa 1 el pUa 335 W ainisou wos ajoid m  (4.98-.65) 9,08~ aimesadua) woos paloAuO e 2Jois m uojewioju; 13yj0  abe jo sieak g Japun uaIpip i anposd siuy asn jou 0p  a0 0 sueal g Japun vaIpID 96 0 s1eak 24 J9pun 0} UBIPI Ja10 puUe 302 0 SseaK SIGEZ 01 L | 2k uaipiud pue sinpe SIN0U b Ul SES0P § UEL) 40U 2XEH 10U Op 10049 01 p iona ayel m SuopIaq  eme b  181080 [031U09 UOSIO E 1921U09 J0 djay [201aL 130 '350pJa10 0 2520 U] “USIPIIYD 0 Y3ea Jo 110 daay ‘350 a10j2q [euoisssjoid  WSy © 45 “Buipsej-iseaiq 10 jueubeud ji  (panunuoo) sjoe4 bnig  e |     521381  abuetoxa 10 (1308 i) Py .0 08 00 e ue e ot prpasd posn pue ebeped iy LPAUSIES 001 1N VSN SD18Z O SHLIYN ‘00U 30MNOW 1070} ONI'S3OINAIS HYTION KT  A8 GLNGLSIO 226260010038 p¥80S ‘wOEIEAIN AB38INY <IfUpeuag wewspes  POsEISI0a1 4} 0 U ‘SIROUIESH JOUISUO) KON  fq paINGUISID 10 paInORJIURL U S JONPOI UL,  <@ uaIpip i Ae0adsa 0920 few Angenovo m Aauuoew Bunesedo  10 81U 010 # BUIAID UL I}21e0 g W SsausnoIp asealul  few SIazIInbUE PUE ‘SSIERSS ‘10U0DIE W  S A0YOI pore m  10990 few SSAUSOID poYe @  1anpoid sy Buisn vaym  SiazbueI) 10 SenTepas ubiel  a1e oK 1 35N 810494 Isi3euwAeYd 10 10130 € ASY. pueip  eiesoid pabieiua Ue o} anp Bureun ajgnos SUOUOLQ 2NU0I  1o ewasfuyduwa se yons waloid uueaiq e m  EUWOINEID M _aNey nok 1 35n 810j30 10190P € A5y U U0 paSn auo Gana ‘QUIEIpAYURUITD  BuLIRIY 11POJd JaU)0 Aue Ui m  Adoa1s pIuD ® e oy @ asn jou 0  sbujusep  GURGaUS @ 350U AUUNI 100 UOWIOD U1 0} np Swojdus asau Sanaye) Aueiodus) m 1201} 10 850U 341 JO CUIGTH M Dugaeus m  Sala Aiajen Aoy m _ ssou Auuni m  saBsale KiojedsaJ Jaddn Jaulo 1o Jansy fey 01 01D SwOIAS asou) Sanal Auesoduol m sas)  B G2 10H sulweIpAUEdIQ (1312} yoea u1) Juaipaibul anay  sjae4 6nig  auweIsY  asoding     NG oo           B-0500-329-22  REV0410C32922  ot","Diphenhydramine HCI 25 mg  Diphenhydramine HCI 25 mg  PN 1Z62E/57SOSQE  6LLJ2-A E009L60 NIS  4605-92p-008-E 1123 ésjuaw1uos 10 SUONSaND  EpxoIp WnueIT “Ojet piSe OueeIS “spxOIp ucois“JOyooIe JAU!AIOd |ooKIB au/AujeA/0d “asono aueySA OOs ‘ojsea)s WnIsaUDEUr “yeYSOUG WUNIIENI “oye WNUNUNIE 224  pai sB0 ‘uoseIS WiO9 SJUBIPEIÔUI SANIEU)  Jequunu jo pue a1ep VONEIX@ 10} dj pua 285 M uIOU W 1981016 M  (4.98-65) 0.0€-,84 eunpesaduay woos pajjonuoo je siojs m UONJewoËu 19Y}O  abe jo sseak 9 sapun veipie uI onpoud SI sn jou op  abe jo sueaf 9 sapun v@spigo 62 jo sieaf 21 sopun où 9 VOipIIo Jano pue abe 0 sieok svaigezo L | 2k veipiyo pue sunpe SInOY p U SESOP 9 UEU BIOU S JOU OP M snoy 9 03 p Alata oyey m SUONIBNG  “Reme quôu  1®1U89 JONUOG UOSIOQ E JORIUOO 10 dja4 j20!pau }8 ‘asopIanD JO 35€2 u| ""uBsp|1U9 J0 Yse@ j0 NO d@oy “asn 810J@Q JeUOISSSJOLŸ  uueay e yse ‘Buypaaj-jsea1g 10 jueubesd j/  (panunuoo) sp9e4 GmG  Velges L     21381  ur1 ce n pj @ 1 01P70 ue hue 0ù se e jonpos pasnun ue eBeyped wts &pausnes 440010N VSN S0L0Z ONSMEHLIVN ‘avou SOUNOM 1R DN SZOINSES BYTIOU ATMVE  XG CaingrLSIO Z262500LPON3H — pHBOS ‘miqeyenin AGsej1y /upeuag weuspesy  patastGas u, jo OUR ‘SIEOESH J3UINSUOG JONOI  fa paynaunsip 40 paunypeynueu JOu si jonpoid sIL.  < _ voupit u ervadse ‘5n300 feuu Aayigenoxe m hiauoeu Gunesedo  40 ajjyen sojous @ Guvaup V nj à M 5SSUISOID SSPBIOUI  Feu ssozynnbuesy pue ‘sanieps ‘(OU00/e m  SyUup OjOYcO pIOrE M  4n000 Keuu SsauiSMoup pyseu m  ronpoid sy Oursn vaunt  stezjmbues 10 sonnepos Buvey  ue nok | sn a10J9Q ISISEWJ@UÉ 40 101300 € YSV pue  avejsoud pabsejua ue oyanp Guneu,n ajgno3 m ngOUOQ SIUONLE  40 ewesKyduo se yons wa1gosd Butyressg e m  puuoone]B m _aneu noK 1 sn 640/0G 10/30P € YSV Up}s O pasn œuo vona “auwespAquaudip  Gurureyuoo jonpoud sauyo Aue u e  Aéoais piuo e oyeu Oj m es 104 0Q  shususem  Durzsaus m aS0U RUUN “pj09 VOUUOO @n oùanp SoIdÉS 8Say) SnIes AiLeJOdue) m e 10 asou a jo Buigou m | Ouzoeus m  sefa Kisjem Ayoy m … a50u Auuns m  -sabsaje Klojedsas Jeddn saujo 10 30184 e oyanp suuoydués asauy Sarije Arexoduay m sasn  But GZ 10H aujwespAuuaudIg (laygez yoea ui) Juaspasbut annay  s1984 1G  aurersIgau  asoding     IOUN           B-0500-329-22  REVO410C32922  008","Diphenhydramine HCI 25 mg  Diphenhydramine HCI 25 mg  9 NZZ62£ 117780 E  62222 €009160 NYS  1606-977-008-L 1e0 ¿siuewnos 10 suoysany  epoyp tnmuen ole) _Pe ouees aPNO uaois “Jouoaje ¡urviod “¡0oN6 aua AuneRjod “asojnieo aulejsÁ00J0ju “ayzeays wunisaubeus “aueudsoud tnryeaj “aye wunununte 224  pal 990 UoElS WIOO_SIUE/pa1bur anjIRU/  Jequinu yo] pue e1ep uonendxs 1j del pus 22s m aumstou wouy ¡oejozd  (4,98-69) 9.08-.61 esmesaduva) woos payonuoa 1e a1ojs m uoneunoju aujO  abe jo sueBÁ 9 1apun uapyo ul ¡anpoid SI asn y0u op  añe o sigof g sapun vaupyo De jO sueañ 21apun 019 uaupyo -ano pue abe j sueaÁ siaaerz 01 | | - 21 uaspyuo pue smpe sinoy yZ ul sesop 9 ueuy arow aye) 10u op m sInoy 9 01 p Áleno oyer m su09au10  “Aeme yb  JaJueo jonog uosio e 1eyuoo 10 djay [eoipat 196 'asopuano JO aseo uy “usupyIyo j uaeas yo 10 daay 'asn auojed IeuoJssejoud  unoy e yse “Buypoej-1sea2q uo jueuboad y|  (panunuoo) s7924 6mug  oey y     521381  ua (a yun) pura e yauj o u hue 01 sfp 0 ua pnpor pasnun pue besped uniea ¿paysnes 9400 1N YS SOLEZ ON 'SIEHLIVN '0VO 30MNON LOPOL ""N 'S39IAJ3S UVTICO ANV  ""8 OBNBRISIO 2Z62e00LPONIH — — PPS0S ""m.QENENIN ÁDIEI ¿Ipeuag yuewapen  porajias auy JO 0uI “eveopIea ¿0uNC NENDIN  Áq pamqusip 0 paumoejnueu JOu si yInpo1d SILL,  4 ueipio ul Aerads “inano Aeuw Ayyaenxo m Areulzozu Guyerado  0 apoen ¿ojous e Bunup uay [njejeo aq a SQUISMOJp asearoul  Aeuw siazimbuen pue 'sennepes “1oyooje m  syuup onoyoote pone m  1090 Ae SsauIso1p poyeu m  19mpozd siyy Gursn uaum,  siezjmbuezy ¿O seayepos Bunres  1e noÁ 1 asn a10j9d Is1aeuIed 10 10ja0p € ySY puejo  anejsoud pabuejua ue oy anp Guneuun ajqno an siiyou01q awuoyo  10 euasAduo se yons wajqo1d Gunyeasq e m  euconej m__oneuy noÁ 1 as 1010q 10190P € XSY uD UO pasn auo uano “auNueJpÁQuUeyd  Gururequoo ranposd Jayjo Áue yan a  Adeays pluo e ayeu oj m — esn 0u 0g  sBuNIeM  Gurzasus m —asou AuUnr mi_—pjoo vOLO9 uy 0y anp suorduwÁs esauy sanayas Áuejodua) m 1804110 as0u ay yo Ounioym — Guizaaus m  saña Ajajem Áyoy m — asou Áuun m  ssrbuaie Aoeurdsas Jaddn ueujo 10 20na Aey 0y anp suogdtws asauy sonayes Áuesoduay a sasf  'uy 62 1944 aul pÁyuaudia (18108) y929 u) 1ua1paibur any  s19e4 Gnug  aunuersIynUy  asoding     INIINIDA ===           B-0500-329-22  REV0410C32922  le",Dipletydfamine HC125mg  Diphenhydramine HCJ 25 mg  | 2 80  6LA2M 8001600S  Ieegprgmelies 3sut0210s1015000  Immmmmmgm ueofs pgcpMewicd potfstefgetpd nppoamipptnapiu 3uesunssudeu gnppop unutne /  队 250 Rs elpaifuy 202841  Anuinlputspuotedandalpuasss anpeuuoHpsade  36.69 00eSLamgpstun uon pqpuaoRapgs peuojreW0  seppsetgpo uappgapgad u  s tg punuepti e 2LRpunal3uapWp epeepaef pqz91| 2Lappppuesppe  snotizolssopougaouseipuopa  nolgolymaaga  SU010810  Mnetl Jsglpwogunsedepstmouodpilopes t copeojoimalapp ipepodiey naopqltuossao4  esttpa lupoarisanuciuestanil  (panuluooj foey b  u     EEJ  cocoesnpntniemn taaseteegeodpoe 口 ceentnesseinn ssetim ptaptoniott ow sBpasyrmeamd Jneutsd riooigEy ens wnn/2niy 0Poue eupel  poaste ag 月 aune ageqhsunsno h  月 PipdnpJopanpapueu usipnpas  有 01P4AEpetsa ynoleu qnipas Uautpeu iogesto 1sptpunputloypusytpm a E Jueninboonpesepss p upoegoppoas Inolusevenoppeeu popodsi0 upnuaut un oenoiiosnonptiipetueioinposiy 6 snpodpatmpaueolinptugsuunafnos puaqotop Josuxstttunseypnsuntodlogeaqes neps uneuilssn ampauopopsy Peniinuit eptpsgp bouepoopnpod .egplis ua epphpeseucls agnipueg E  Oopsmtss souliuna Ppouuum elnpsuntulsssogsepupapduna  p  poohona  6agp pidsa atorJsgo 0 t inpsunulsssogspulpeodunla  E  buszphstueptibst (lelgay 4op5 句 Japayul anpo  SJ28J 5  sn  2sodny     山 山 山 日           80500329.22 REV0410C32922  Geazee-,382,20,9,27,18,17,23,21,16,11,16
images/900 (4).jpg,ULTRATABS™ '  i Fl el EL R 24 113,CC TIL TVR '  *small tablet size actual size 24 113k,ULTRATABS”* '  *small tablet size actual size 24 ENE,山 U     M 24 U 日,11,35,27,25,29,26,33,17,23,27,23
images/98. 00312547171366.jpg,"ALLERGY  Diphenhydramine HCI 25mg | Antihistamine         R -1, TV T R T, T YA [ 11 ' ltchy, Watery Eyes B TR T T  ULTRATABS™ @  et PR 872 ELAEINYY 4 8 TAB LETS","ALLERGY  PS el SIRV e Tn         “ Sneezing “ Runny Nose “ Itchy, Watery Eyes © Itchy Throat  UR TIL @  *small tablet size actual size 4 8 1L LEÏS","ALLERGY  Diphenhydramine HCI 25 mg | Antihistamine         BC — Runny Nose — ltchy, Watery Eyes — ltchy Throat  ULTRATABS” Q  BFNEN EN actual size 4 8 U |.EÍS",`ALLERGy  Diphenhydramine HCI 25mg | Antihistamine         “Sneezing L s 春 k 二 一 Itchy Throat  U  EE 李     0 日,30,27,19,20,23,37,17,38,38,51,25
images/96. s-l1000.jpg,Compare to Zyrtec® active ingredient’  @ original prescription strength  Members Mark cetirizine  hydrochloride tablets 10 mg  antihistamine  Indoor & Outdoor Allergies  PR T T = G * Sneezing * Runny nose  R0 watery eyes  * Itchy throat or nose     Compare to Zyrtec' Compare to Zyrtec active ingredient active ingredient  e P           Members Mark     PRI (- R prescription strend B8 R  (o]l cetirizine  yarochloride tablels 3 ride tablets (R ydrochloride 2Bl     400  Tablets %&’.35         e antihistamine         P N,"Compare to Zyrtec’active ingredient  @ ( dle 1In CT dletilo Sc Te14n)  Members Mark cetirizine  hydrochloride tablets 10mg  antihistamine  Indoor & Outdoor Allergies  24 hour relief of: « Sneezing CC e S  « ltchy, watery eyes  D LS Cl     Compare to Zyrtec* Compare to Zyrtec active ingredient active ingredient  m. r …           |Members Mark     PEN 17 uE PS EN E 7 DON  cetirizineg cetirizine  ydrochioride tablels h r DE RI     400  Tablets âE.tL         PE 5 EDL         PIEEN Allergÿ","Compare to Zyrtec“ active ingredient'  º original prescription strength  Members Mark. cetirizine  hydrochloride tablets 10 mg  antihistamine  Indoor 8: Outdoor Allergies  P NA * Sneezing a 0TT  * ltchy, watery eyes  * Itchy throat Ke M TT     Compare to Zyrtec' — = Compare to Zyrtec active ingredient active ingredient  noconoas E E           Mermbers Mark     CA original E - prescription strength  cetirizinef cetirizine  EUN D) E D ydrochloride taBl     400  Tablets 15335         P RCuD - antihistamine         Allergy E",Compare to Zyrtec“active ingredient「  必 original prescription strength  日 日 自 ss 4 hydrochloride tablets 10 mg  antihistamine  Indoor & Outdoor Allergies 24 hour relief of:  * Sneezing * Runny nose  园 L t  “ ltchy throat or nose     comparete zynee 。 Compareto zyriec activeineredient activeingredient  eneas 朗  7 ongnl E E  【 【  O 5 E E varoolonde 坤 霁     400  Tablets 暑麝彗… ` E         E anthtstnnt,78,17,24,26,33,29,27,37,4,18,20
images/900 (9).jpg,"|Sleep Aid  | Diphenhydramine HCI 25 mg  B EL L G e n e B E T | « Safe, non-habit forming  Y  MINI-CAPLETS . .  NIGHTTIME  [ G LTl P L EL","| Sleep Aid  | Diphenhydramine HCI 25 mg  TS « Doés not contain pain reliever | « Safe, non-habit forming  UU  MIR  NIGHTTIME  P E LR CLUN L ESL active ingredient#","| Sleep Aid  | Diphenhydramine HCI 25 mg  AE ERe * Does not contain pain reliever | eSafe, non-habit forming:  u  NE  NIGHTTIME  PE A active ingredient**",1  | Diphenhydramine HCI 25 mg  | zuETeEuUUDicu i Doss not confain painreliever | safeinon-hiabitformingl  L  MINIECAPLETS w 疫  NIGHTTIME  E active ingredientt,31,25,27,26,17,21,27,29,24,25,19
images/94. 1979_z.jpg,e ey  Relief of; Sneezing  Ruzny Nose 3 65  [ LCIE 57 28 ltchy Throat or Nose L,M Strength  LS Sneezing  Ruzny Nose 3 65  L L CG SE E LUE LI RIN =,"U ae D IT  EO Sneezing  Ruzny Nose 3 65  Itchy, E7 FEO eA ANAN e",AELD E  u S″蹿Z′″g  E `3)6^贯  lldyy Matery Eyes 5 y n,17,26,33,24,33,44,26,33,50,44,17
images/00747705_dghl_lowdoseaspirin_120ct.jpg,[&Te ol 2018 EREIRER RN  Compare to | DL ) acive ngredient of  Aspirin 81 mg  Pain Reliever (NSAID)  Rl e * Aspirin regimen Actual Tablet Size,ÉÉ e 0 E EN RRN S ESSE VANENNAA  Compareto } PLN TS 1 e) t ingredien of  PL ESE mg  Pain Reliever (NSAID)  L « Aspirin regimen PEN,a PP TA NNN  Compareto — | DG'|health acive ingedient ol  Aspirin 81 J  [ T S( E  a D TA T Actual Tablet Size,s 1 尽 A ASSNSS  「` Compareto _ | u P  Aspirin s1 mg  Pain Reliever (NSAID)  z Ba 【omouuupyyr,29,29,24,27,32,24,27,27,10,18,25
images/94. essential%2boils.jpg,VN EER T Y Hseta R4l N Allergy Bomb,We |ove +he Miracle Pil] A Allergy Bombl,We love +he Miracle Pill TA AEA,We _oVe +he 国 AKA 1,8,32,35,32,30,30,30,18,27,28,22
images/900 (2).jpg,"Compare to Claritin™'  AL & SAVE!           N  s  §o Loratadine Orally Disintegrating Tablet, 10mg §i Antihistamine  X Non-Drowsy’Allergy Relief  "" Relief of % e Sneezing u » Runny Nose y Eyes  o Itchy, Waten ose & Throat  J HOUR < itching of N  sarkof Schering Corporation  (720 WL  orally  60 bs PP C 4 LELIES         $Clrtn® s registred adem:","Compare to Claritin""*  TURTE) 471/#           s%  $  Èv Loratadine Orally Disintegrating Tablet, 10mg ä* Antihistamine  S Non-Drowsy*Allergy Relief  A Relief of % e Sneezing ü « Runny Nose y Eyes  « Itchy, Water jose & Throat  _ HOUR . itching of N  arkof Scherng Corporation  Fresh Mint  PEN  60 b8 Disintegrating G pn         4 Clartin® sà reistered trader","Compare to Claritin""'  ENE |7           u  S  $e Loratadine Orally Disintegrating Tablet, 10mg %¿ Antihistamine  N Non-Drowsy""Allergy Relief  . Relief of X * Sneezing u * Runny Nose y Eyes  e Itchy, Water ose 8: Throat  - HOUR - itching 0f N  arkcof Schering Corporatin  77 TA  D  60 b8 Disintegrating v Tablets         +Claritin? s rgistereo tadem",夏鲁胥TEs 【clxil c″…″″a/e E 霆'a去发′/″叶 E 一 L  Moufhl         逞荨  宁  羹塞 Loratadine Orally Disintegrating Tablet 100m9 姜工 Antihistamine  羹爹 Non-Drowsy“Allergy Relief  / - A  Relief of 昊 * Sneezin * Ru门门〉 W副e吖 Ey  e5 ~ HOUR …h…g of Nose & Throat  Hounirgangsetuntretoeoum0poo,58,27,10,31,31,38,25,43,23,18,15
